Rank,Business Name,Phone Number,Rating,Review Count,Address,City,State,ZIP,Website,Quality Score,Lead Quality,Call Priority,Owner Name,Owner Email,Contact Email,Enrichment Source,Notes,Call Status,Call Date,Follow Up
1,Mowbray Tree Services,(909) 389-0077,3.5,133,"686 E Mill St, San Bernardino, CA 92408, USA",San Bernardino,CA,92408,https://www.mowbrays.com/,95,HIGH,URGENT,,,,google_places,,,
2,GRS Landscaping & Paving Co.,(714) 860-7099,3.5,13,"5681 Beach Blvd, Buena Park, CA 90621, USA",Buena Park,CA,90621,http://grslandscaping.website/,85,HIGH,URGENT,,,,google_places,,,
3,Mimosa Nursery,(323) 722-4543,3.9,85,"6270 Allston St, Los Angeles, CA 90022, USA",Los Angeles,CA,90022,http://mimosala.com/,85,HIGH,URGENT,,,,google_places,,,
4,Mimosa Nursery,(714) 828-0780,3.8,96,"2700 W Crescent Ave, Anaheim, CA 92801, USA",Anaheim,CA,92801,https://vuoncayoc.com/,85,HIGH,URGENT,,,,google_places,,,
5,Arlington Gardens Care Center,(951) 351-2800,3.6,114,"3688 Nye Ave, Riverside, CA 92505, USA",Riverside,CA,92505,https://www.arlingtongardenscc.com/,85,HIGH,URGENT,,,,google_places,,,
6,Rancho California Landscaping,(310) 768-1680,3.3,15,"13801 S Western Ave, Gardena, CA 90249, USA",Gardena,CA,90249,https://www.ranchocalifornia.biz/,85,HIGH,URGENT,,,,google_places,,,
7,Lowe's,(619) 584-5500,4.0,30,"2318 Northside Dr, San Diego, CA 92108, USA",San Diego,CA,92108,https://www.lowes.com/l/gardencenter.html?cm_mmc=YEXT-_-GC,80,HIGH,URGENT,,,,google_places,,,
8,Mario Tree Service,(562) 322-2246,3.9,14,"7802 Chatfield Ave, Whittier, CA 90606, USA",Whittier,CA,90606,https://mariotreeservice.net/,75,HIGH,HIGH,,,,google_places,,,
9,Grassland Landscape and Lawncare,(562) 551-8873,4.0,18,"1611 Long Beach Blvd, Long Beach, CA 90813, USA",Long Beach,CA,90813,https://longbeachlandscaping.net/,75,HIGH,HIGH,,,,google_places,,,
10,"Discount Tree Care Arborist, Inc.",(562) 842-8635,4.1,131,"3126 E 64th St, Long Beach, CA 90805, USA",Long Beach,CA,90805,https://discounttreecarearboristinc.com/,75,MEDIUM,HIGH,,,,google_places,,,
11,Aerations Plus Sprinkler Repair Los Angeles,(866) 337-0655,4.2,52,"925 N La Brea Ave Office 424, West Hollywood, CA 90038, USA",West Hollywood,CA,90038,https://www.aerationsplusla.com/,75,MEDIUM,HIGH,,,,google_places,,,
12,SiteOne Landscape Supply,(714) 963-5372,4.1,69,"10500 Garfield Ave, Huntington Beach, CA 92646, USA",Huntington Beach,CA,92646,https://www.siteone.com/en/store/317,75,MEDIUM,HIGH,,,,google_places,,,
13,Red Star Fertilizer Co,(909) 597-4801,3.5,13,"17132 Hellman Ave, Corona, CA 92880, USA",Corona,CA,92880,,75,HIGH,HIGH,,,,google_places,,,
14,Paradise Garden Center,(951) 789-0386,3.6,98,"7109 Dufferin Ave, Riverside, CA 92504, USA",Riverside,CA,92504,,75,HIGH,HIGH,,,,google_places,,,
